Fichier, Temps Naif (µs), Temps Welzl (µs)
test-274.points, 92228, 14
test-275.points, 102926, 18
test-276.points, 93720, 20
test-277.points, 95146, 21
test-278.points, 86630, 12
test-279.points, 104902, 21
test-28.points, 136518, 59
test-280.points, 106815, 12
test-281.points, 121063, 19
test-282.points, 93986, 24
test-283.points, 101415, 38
test-284.points, 87425, 22
test-285.points, 109172, 16
test-286.points, 113755, 18
test-287.points, 102118, 29
test-288.points, 118229, 40
test-289.points, 110125, 19
test-29.points, 113218, 20
test-290.points, 95491, 37
test-291.points, 111563, 36
test-292.points, 110531, 19
test-293.points, 105171, 22
test-294.points, 128132, 28
test-295.points, 85591, 8
test-296.points, 103817, 21
test-297.points, 96110, 19
test-298.points, 93230, 22
test-299.points, 120706, 23
test-3.points, 111459, 23
test-30.points, 100503, 16
test-300.points, 91069, 25
test-301.points, 114218, 29
test-302.points, 120754, 24
test-303.points, 99445, 29
test-304.points, 98560, 41
test-305.points, 97679, 23
test-306.points, 109855, 15
test-307.points, 97462, 10
test-308.points, 112792, 15
test-309.points, 107824, 17
test-31.points, 109225, 24
test-310.points, 91678, 16
test-311.points, 126274, 16
test-312.points, 105270, 12
test-313.points, 125560, 37
test-314.points, 122486, 27
test-315.points, 103798, 18
test-316.points, 86710, 10
test-317.points, 92071, 12
test-318.points, 133376, 30
test-319.points, 102859, 40
test-32.points, 102784, 17
test-320.points, 97720, 17
test-321.points, 115526, 41
test-322.points, 121977, 19
test-323.points, 109399, 16
test-324.points, 109105, 13
test-325.points, 95405, 19
test-326.points, 110336, 19
test-327.points, 106800, 16
test-328.points, 101515, 13
test-329.points, 128321, 36
test-33.points, 98756, 30
test-330.points, 121945, 22
test-331.points, 108180, 15
test-332.points, 102178, 24
test-333.points, 103648, 16
test-334.points, 142481, 12
test-335.points, 113564, 32
test-336.points, 111499, 41
test-337.points, 92551, 31
test-338.points, 90677, 32
test-339.points, 114025, 49
test-34.points, 99349, 20
test-340.points, 113172, 17
test-341.points, 91116, 16
test-342.points, 107782, 18
test-343.points, 114499, 26
test-344.points, 95344, 48
test-345.points, 98823, 10
test-346.points, 102297, 18
test-347.points, 124320, 19
test-348.points, 103413, 26
test-349.points, 111451, 36
test-35.points, 85121, 13
test-350.points, 89498, 12
test-351.points, 104065, 48
test-352.points, 118859, 19
test-353.points, 102905, 23
test-354.points, 115034, 17
test-355.points, 94867, 18
test-356.points, 93252, 17
test-357.points, 99783, 14
test-358.points, 126140, 47
test-359.points, 123786, 31
test-36.points, 130335, 20
test-360.points, 99200, 12
